num_sections,dll_characteristics,max_section_entropy,num_dlls,dangerous_api_count,num_rwe_sections,characteristics,is_ep_in_unexpected_section,avg_section_entropy,num_imports,size_of_image,api_list,label
5,0,5.612885911,2,0,0,8462,0,1.575144707,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
4,32768,6.492048294,4,0,0,259,0,2.824199267,19,663552,getaddrinfo freeaddrinfo closesocket WSAStartup socket send recv connect GetProcessHeap HeapFree HeapAlloc SetLastError GetLastError CoCreateInstance CoInitialize CoUninitialize VariantInit SysFreeString SysAllocString,1
5,0,6.429565171,2,0,0,8462,0,1.738480559,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,6.429489283,2,0,0,8462,0,1.738465381,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
11,33120,6.060695037,2,4,0,8750,0,3.220730732,74,11546624,AddVectoredExceptionHandler CloseHandle CreateEventA CreateFileA CreateIoCompletionPort CreateThread CreateWaitableTimerExW DeleteCriticalSection DuplicateHandle EnterCriticalSection ExitProcess FreeEnvironmentStringsW GetConsoleMode GetEnvironmentStringsW GetLastError GetProcAddress GetProcessAffinityMask GetQueuedCompletionStatusEx GetStdHandle GetSystemDirectoryA GetSystemInfo GetThreadContext InitializeCriticalSection IsDBCSLeadByteEx LeaveCriticalSection LoadLibraryA LoadLibraryW MultiByteToWideChar PostQueuedCompletionStatus ResumeThread SetConsoleCtrlHandler SetErrorMode SetEvent SetProcessPriorityBoost SetThreadContext SetUnhandledExceptionFilter SetWaitableTimer Sleep SuspendThread SwitchToThread TlsGetValue VirtualAlloc VirtualFree VirtualProtect VirtualQuery WaitForMultipleObjects WaitForSingleObject WideCharToMultiByte WriteConsoleW WriteFile ___lc_codepage_func ___mb_cur_max_func __iob_func _amsg_exit _beginthread _errno _initterm _lock _unlock abort calloc fputc free fwrite localeconv malloc memcpy memset realloc strerror strlen strncmp vfprintf wcslen,1
5,0,1.815152106,2,0,0,8462,0,0.815597946,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,33088,7.976998345,23,6,0,290,0,6.137862911,697,3231744,VerQueryValueW GetFileVersionInfoW GetFileVersionInfoSizeW SnmpUtilOidCpy SnmpUtilOidNCmp SnmpSvcGetUptime NetApiBufferFree NetWkstaUserGetInfo NetWkstaGetInfo NetServerGetInfo DestroyEnvironmentBlock CreateEnvironmentBlock ExitThread CreateThread HeapQueryInformation VirtualQuery VirtualAlloc GetCommandLineA GetModuleHandleExW RtlUnwind RaiseException OutputDebugStringW FreeLibraryAndExitThread SetStdHandle GetCPInfo GetConsoleCP WriteConsoleW SetEnvironmentVariableW FreeEnvironmentStringsW FindNextFileW FindFirstFileExW SetFilePointerEx GetConsoleOutputCP CreateFileW SetEndOfFile WriteFile CloseHandle GetLastError GetLocalTime IsValidCodePage GetSystemDirectoryW LocalAlloc LocalFree FormatMessageW GetEnvironmentVariableW ExpandEnvironmentStringsW FileTimeToLocalFileTime FindClose FindFirstFileW GetDiskFreeSpaceExW GetDriveTypeW GetFileSize GetLogicalDriveStringsW GetVolumeInformationW ReadFile SetErrorMode QueryPerformanceCounter QueryPerformanceFrequency GlobalMemoryStatusEx GetTickCount GetNativeSystemInfo GetComputerNameW FileTimeToSystemTime SystemTimeToFileTime GetDateFormatW GetTimeFormatW MultiByteToWideChar CreateDirectoryW Sleep GetModuleHandleW GetProcAddress GetACP GetOEMCP IsValidLocale EnumSystemLocalesW LCMapStringW GetTimeZoneInformation GetConsoleMode SetConsoleMode ReadConsoleInputW ReadConsoleW LoadResource GetStartupInfoW IsDebuggerPresent InitializeSListHead GetSystemTimeAsFileTime SleepConditionVariableSRW WakeAllConditionVariable AcquireSRWLockExclusive ReleaseSRWLockExclusive IsProcessorFeaturePresent SetUnhandledExceptionFilter UnhandledExceptionFilter GetUserDefaultLCID GetTempFileNameW SearchPathW GetProfileIntW GetTickCount64 GetTempPathW VerifyVersionInfoW VerSetConditionMask GetWindowsDirectoryW GetCurrentDirectoryW lstrcpyW VirtualProtect GetUserDefaultUILanguage GetLocaleInfoW GetFileTime GetFileSizeEx GetFileAttributesExW lstrcmpiW DuplicateHandle UnlockFile LockResource SizeofResource FindResourceW GetStringTypeW LockFile FlushFileBuffers ResumeThread SetThreadPriority WaitForSingleObject GlobalFlags GlobalFindAtomW GlobalAddAtomW lstrcmpW GlobalDeleteAtom LoadLibraryA GetCurrentThreadId GlobalGetAtomNameW lstrcmpA GetCurrentProcessId LocalReAlloc GlobalHandle GlobalReAlloc TlsFree TlsSetValue TlsGetValue TlsAlloc InitializeCriticalSection GetModuleHandleA InitializeCriticalSectionAndSpinCount LeaveCriticalSection EnterCriticalSection OutputDebugStringA CompareStringW CopyFileW GlobalSize SystemTimeToTzSpecificLocalTime FreeLibrary DeleteCriticalSection InitializeCriticalSectionEx GetFileType GetStdHandle WideCharToMultiByte FindResourceExW GetProcessHeap HeapSize HeapFree HeapReAlloc HeapAlloc HeapDestroy SetFilePointer SetLastError GetSystemInfo LoadLibraryW LoadLibraryExW IsWow64Process GetVersionExW DecodePointer EncodePointer GetFileAttributesW DeleteFileW GetEnvironmentStringsW GetCommandLineW GetFullPathNameW K32GetModuleBaseNameW K32EnumProcessModules K32EnumProcesses GetModuleFileNameW OpenProcess GetExitCodeProcess TerminateProcess ExitProcess GetCurrentProcess WaitForMultipleObjects MulDiv GlobalFree GlobalLock GlobalUnlock GlobalAlloc GetKeyboardState ToUnicodeEx MapVirtualKeyExW IsCharLowerW GetKeyboardLayout WaitMessage GetComboBoxInfo ReuseDDElParam UnpackDDElParam InsertMenuItemW UpdateLayeredWindow DrawIcon CopyIcon SetCursorPos BringWindowToTop GetSystemMenu SetParent SetWindowRgn SetClassLongW DrawStateW SetLayeredWindowAttributes GetKeyNameTextW MapVirtualKeyW GetMenuDefaultItem CreatePopupMenu NotifyWinEvent InvertRect HideCaret EnableScrollBar MessageBeep GetIconInfo IsRectEmpty DrawFocusRect WindowFromPoint ReleaseCapture GetNextDlgGroupItem DeleteMenu ShowOwnedPopups TrackMouseEvent MapDialogRect GetAsyncKeyState GetNextDlgTabItem CreateDialogIndirectParamW SetRectEmpty SendDlgItemMessageA CopyImage DestroyMenu GetWindowDC TabbedTextOutW GrayStringW DrawTextExW CharUpperW DestroyIcon RealChildWindowFromPoint GetDesktopWindow ClientToScreen WinHelpW GetScrollInfo SetScrollInfo CallNextHookEx SetWindowsHookExW GetWindow GetTopWindow GetClassLongW EqualRect CopyRect RemovePropW ShowScrollBar CreateAcceleratorTableW SetScrollRange GetScrollPos SetScrollPos ScrollWindow RedrawWindow ValidateRect GetForegroundWindow SetActiveWindow SetMenu GetCapture GetKeyState GetDlgCtrlID IsChild IsMenu IsWindow MessageBoxW AdjustWindowRectEx GetWindowRect GetSystemMetrics GetDC GetClassInfoExW GetClassInfoW RegisterClassW GetMessageTime GetMessagePos PeekMessageW RegisterWindowMessageW GetLastActivePopup GetWindowThreadProcessId IsWindowEnabled UnhookWindowsHookEx LoadBitmapW GetMenuCheckMarkDimensions SetMenuItemBitmaps GetFocus RemoveMenu AppendMenuW InsertMenuW GetMenuItemCount GetMenuItemID GetMenuState GetMenuStringW DialogBoxIndirectParamW SetCursor DrawIconEx LoadImageW EnableMenuItem CheckMenuItem SetCapture EmptyClipboard RegisterClipboardFormatW SetClipboardData CloseClipboard OpenClipboard DrawEdge MonitorFromWindow IsDialogMessageW LoadIconW LoadCursorW CheckMenuRadioItem GetClassNameW EnumChildWindows GetParent SetWindowLongW GetWindowLongW PtInRect UnionRect IntersectRect FrameRect ChildWindowFromPoint DestroyAcceleratorTable CopyAcceleratorTableW SetRect LockWindowUpdate GetDoubleClickTime ModifyMenuW CharUpperBuffW IsClipboardFormatAvailable GetUpdateRect DrawMenuBar DefFrameProcW DefMDIChildProcW TranslateMDISysAccel SubtractRect MapWindowPoints ScreenToClient GetCursorPos CreateMenu GetWindowRgn DestroyCursor GetScrollRange GetClientRect GetWindowTextLengthW GetWindowTextW GetPropW SetPropW InvalidateRect EndPaint BeginPaint SetForegroundWindow UpdateWindow SetMenuDefaultItem SetMenuItemInfoW ReleaseDC GetSysColor GetSysColorBrush SetSysColors FillRect InflateRect OffsetRect SystemParametersInfoW MonitorFromPoint GetMonitorInfoW EnumDisplayMonitors GetProcessWindowStation GetUserObjectInformationW PostThreadMessageW SendMessageW SetWindowTextW DrawTextW LoadStringW DrawFrameControl GetMessageW TranslateMessage DispatchMessageW PostMessageW DefWindowProcW PostQuitMessage CallWindowProcW RegisterClassExW CreateWindowExW DestroyWindow ShowWindow MoveWindow SetWindowPos GetWindowPlacement SetWindowPlacement BeginDeferWindowPos DeferWindowPos EndDeferWindowPos IsWindowVisible IsIconic IsZoomed CreateDialogParamW DialogBoxParamW EndDialog GetDlgItem SetDlgItemTextW GetDlgItemTextW CheckDlgButton CheckRadioButton IsDlgButtonChecked DefDlgProcW SetFocus GetActiveWindow SetTimer KillTimer EnableWindow LoadAcceleratorsW TranslateAcceleratorW LoadMenuW GetMenu GetSubMenu TrackPopupMenu GetMenuItemInfoW GetWindowExtEx IntersectClipRect PtVisible RectVisible RestoreDC SaveDC ExtSelectClipRgn SetLayout GetLayout SetPolyFillMode SetROP2 SetTextAlign TextOutW ExtTextOutW SetViewportExtEx SetViewportOrgEx SetWindowExtEx SetWindowOrgEx OffsetViewportOrgEx OffsetWindowOrgEx ScaleViewportExtEx ScaleWindowExtEx GetTextExtentPoint32W CombineRgn CreateRectRgnIndirect PatBlt GetViewportExtEx DPtoLP GetTextMetricsW EnumFontFamiliesExW GetNearestPaletteIndex GetBkColor CreateDIBitmap EnumFontFamiliesW GetTextCharsetInfo CreateEllipticRgn Ellipse GetTextColor CreatePolygonRgn Polygon Polyline CreateRoundRectRgn LPtoDP Rectangle GetRgnBox OffsetRgn RoundRect FillRgn FrameRgn GetBoundsRect PtInRegion ExtFloodFill SetPaletteEntries SetPixelV GetWindowOrgEx GetViewportOrgEx GetTextFaceW GetStockObject GetPixel GetObjectType GetClipBox ExcludeClipRect Escape CreatePatternBrush CreateHatchBrush SetBkColor CreateBitmap CreateDCW CopyMetaFileW EndPage StartPage EndDoc BitBlt CreateCompatibleBitmap CreateCompatibleDC CreatePalette CreateRectRgn CreateSolidBrush DeleteDC GetDeviceCaps GetDIBits GetNearestColor GetPaletteEntries GetSystemPaletteEntries RealizePalette SelectClipRgn SelectObject SelectPalette SetBkMode StretchBlt SetStretchBltMode CreateDIBSection SetDIBColorTable GetObjectW SetBrushOrgEx UnrealizeObject GdiFlush CreatePen LineTo SetPixel MoveToEx CreateFontIndirectW EnumFontsW SetTextColor UpdateColors CreateFontW SetGraphicsMode SetMapMode SetWorldTransform SetRectRgn DeleteObject StartDocW TransparentBlt AlphaBlend CommDlgExtendedError ChooseColorW GetSaveFileNameW GetOpenFileNameW PrintDlgW ClosePrinter OpenPrinterW DocumentPropertiesW RegisterServiceCtrlHandlerW RegOpenKeyExW RegQueryValueExW LsaQueryInformationPolicy LsaOpenPolicy LsaClose LsaFreeMemory SaferComputeTokenFromLevel SaferIdentifyLevel SaferCloseLevel RegCreateKeyW RegEnumKeyW RegGetValueW RegOpenKeyExA RegSetValueExA RegQueryValueExA RegEnumValueW RegDeleteKeyW RegCreateKeyExW StartServiceW StartServiceCtrlDispatcherW SetServiceStatus RegCloseKey QueryServiceStatus OpenServiceW OpenSCManagerW DeleteService CreateServiceW CloseServiceHandle RegOpenKeyW RevertToSelf ImpersonateLoggedOnUser GetTokenInformation FreeSid EqualSid AllocateAndInitializeSid OpenProcessToken CreateProcessAsUserW RegSetValueExW RegDeleteValueW RegEnumKeyExW GetUserNameW ReadEventLogW OpenEventLogW CloseEventLog Shell_NotifyIconW SHChangeNotify SHGetFileInfoW SHGetPathFromIDListW SHGetSpecialFolderLocation SHGetDesktopFolder SHAppBarMessage SHBrowseForFolderW DragFinish DragQueryFileW ShellExecuteW CreateToolbarEx PathIsUNCW PathFindFileNameW PathFindExtensionW PathRemoveFileSpecW StrFormatKBSizeW PathStripToRootW GetWindowTheme GetCurrentThemeName GetThemeColor IsThemeBackgroundPartiallyTransparent DrawThemeText DrawThemeBackground CloseThemeData OpenThemeData IsAppThemed GetThemeSysColor DrawThemeParentBackground GetThemePartSize OleLockRunning RevokeDragDrop OleCreateMenuDescriptor OleDestroyMenuDescriptor OleTranslateAccelerator IsAccelerator RegisterDragDrop CoLockObjectExternal OleGetClipboard DoDragDrop CoInitializeEx CoDisconnectObject ReleaseStgMedium OleDuplicateData CoTaskMemFree CoTaskMemAlloc CoSetProxyBlanket CoInitializeSecurity OleInitialize CreateILockBytesOnHGlobal StgCreateDocfileOnILockBytes CreateStreamOnHGlobal OleRun CoInitialize CoCreateInstance CoUninitialize VariantTimeToSystemTime LoadTypeLib VarBstrFromDate SysAllocStringLen VariantChangeType SafeArrayGetElement SafeArrayGetLBound SafeArrayGetUBound SysStringLen OleLoadPicture VariantCopy VariantClear VariantInit SystemTimeToVariantTime SysAllocStringByteLen SysStringByteLen SysFreeString SysAllocString GetErrorInfo WSAStartup GdipCreateFromHDC GdipCreateBitmapFromHBITMAP GdipDrawImageI GdipDeleteGraphics GdipBitmapUnlockBits GdipDrawImageRectI GdipCreateBitmapFromScan0 GdipCreateBitmapFromStream GdipGetImagePaletteSize GdipGetImagePalette GdipGetImagePixelFormat GdipGetImageHeight GdipGetImageWidth GdipGetImageGraphicsContext GdipDisposeImage GdipCloneImage GdiplusStartup GdipFree GdipAlloc GdiplusShutdown GdipSetInterpolationMode GdipBitmapLockBits AccessibleObjectFromWindow LresultFromObject CreateStdAccessibleObject ImmReleaseContext ImmGetOpenStatus ImmGetContext PlaySoundW,1
5,0,4.128797634,2,0,0,8462,0,1.278424708,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
5,0,6.427247336,2,0,0,8462,0,1.738016992,13,5267456,CloseHandle WriteFile CreateFileA SizeofResource LockResource LoadResource FindResourceA CreateProcessA free _initterm malloc _adjust_fdiv sprintf,1
7,33120,6.947239543,13,7,0,34,0,5.023287194,422,57380864,SymSetSearchPathW SymGetSearchPathW SymGetModuleBase64 SymFunctionTableAccess64 StackWalk64 SymSetOptions SymCleanup SymGetLineFromAddr64 MiniDumpWriteDump SymGetOptions SymFromAddr SymInitialize UnDecorateSymbolName htonl WSAGetLastError getservbyname getservbyport gethostbyaddr inet_ntoa inet_addr WSACleanup ntohs ntohl closesocket getsockopt socket WSAStartup WSAIoctl recvfrom gethostname gethostbyname accept sendto bind send recv FreeAddrInfoW GetAddrInfoW GetNameInfoW select WSASocketW WSASend WSAGetOverlappedResult WSADuplicateSocketW shutdown listen htons WSASendTo WSARecvFrom WSARecv setsockopt getsockname getpeername ioctlsocket connect WSASetLastError CertEnumCertificatesInStore CertCloseStore CertFindCertificateInStore CertDuplicateCertificateContext CertOpenStore CertGetCertificateContextProperty CertFreeCertificateContext SystemFunction036 RegQueryValueExA RegEnumKeyExA RegEnumKeyExW RegQueryInfoKeyW EventWriteTransfer EventSetInformation EventUnregister EventRegister ReportEventW RegisterEventSourceW DeregisterEventSource CryptEnumProvidersW CryptSignHashW CryptDestroyHash CryptCreateHash CryptDecrypt CryptExportKey CryptGetUserKey CryptGetProvParam CryptSetHashParam CryptDestroyKey CryptReleaseContext CryptAcquireContextW SetSecurityInfo GetSecurityInfo SetEntriesInAclA FreeSid AllocateAndInitializeSid RegNotifyChangeKeyValue RegGetValueW RegQueryValueExW RegOpenKeyExW OpenProcessToken GetUserNameW RegCloseKey RegOpenKeyExA DispatchMessageA TranslateMessage GetMessageA MapVirtualKeyW CharUpperA GetProcessWindowStation MessageBoxW GetUserObjectInformationW GetSystemMetrics CoTaskMemFree GetBestRoute2 if_nametoindex if_indextoname CancelMibChangeNotify2 GetAdaptersAddresses ConvertInterfaceIndexToLuid ConvertInterfaceLuidToNameW NotifyIpInterfaceChange GetModuleFileNameExW EnumProcessModules SHGetKnownFolderPath GetUserProfileDirectoryW BCryptGenRandom GetStringTypeW RtlCaptureContext RtlLookupFunctionEntry UnhandledExceptionFilter IsProcessorFeaturePresent InitializeSListHead InterlockedPushEntrySList RtlUnwindEx RtlPcToFileHeader InitializeCriticalSectionAndSpinCount ExitProcess GetModuleHandleExW SetStdHandle ExitThread FreeLibraryAndExitThread GetConsoleOutputCP GetDriveTypeW GetCommandLineA GetCommandLineW FlsAlloc FlsGetValue FlsSetValue FlsFree CompareStringW LCMapStringW GetLocaleInfoW IsValidLocale GetUserDefaultLCID EnumSystemLocalesW GetCPInfo CompareStringEx HeapQueryInformation IsValidCodePage GetOEMCP ReleaseSRWLockExclusive LCMapStringEx DecodePointer EncodePointer InitializeCriticalSectionEx InitOnceComplete InitOnceBeginInitialize SetFileAttributesW VerSetConditionMask VerifyVersionInfoW GetEnvironmentVariableA WideCharToMultiByte GetEnvironmentVariableW GetLastError GetLocalTime SetConsoleCtrlHandler LoadResource LockResource SizeofResource FindResourceA CloseHandle WaitForSingleObject CreateRemoteThread OpenProcess OpenFileMappingW MapViewOfFile UnmapViewOfFile MultiByteToWideChar GetFileType AddVectoredExceptionHandler RemoveVectoredExceptionHandler RtlCaptureStackBackTrace GetStdHandle GetCurrentProcess GetCurrentProcessId VirtualQuery WriteConsoleW LocalFree FormatMessageA InitOnceExecuteOnce CreateEventA GetModuleHandleA GetProcAddress LoadLibraryExA GetEnvironmentStringsW FreeEnvironmentStringsW SetEnvironmentVariableW SetCurrentDirectoryW GetCurrentDirectoryW GetTempPathW SetLastError QueryPerformanceCounter QueryPerformanceFrequency InitializeCriticalSection EnterCriticalSection LeaveCriticalSection Sleep GetProcessTimes SetThreadPriority GetThreadPriority SetPriorityClass GetPriorityClass GlobalMemoryStatusEx GetSystemInfo GetSystemTimeAsFileTime GetTickCount64 GetSystemTimePreciseAsFileTime GetModuleFileNameW GetProcessAffinityMask GetProcessIoCounters FileTimeToSystemTime GetConsoleTitleW SetConsoleTitleW K32GetProcessMemoryInfo SetHandleInformation CreateIoCompletionPort SetFileCompletionNotificationModes CreateFileA CreateFileW DuplicateHandle PostQueuedCompletionStatus SetEvent ResetEvent QueueUserWorkItem RegisterWaitForSingleObject UnregisterWait GetConsoleMode SetConsoleMode GetNumberOfConsoleInputEvents ReadConsoleInputW ReadConsoleW FillConsoleOutputCharacterW FillConsoleOutputAttribute GetConsoleCursorInfo SetConsoleCursorInfo GetConsoleScreenBufferInfo SetConsoleCursorPosition SetConsoleTextAttribute WriteConsoleInputW CancelIoEx CancelIo SwitchToThread GetStartupInfoW NeedCurrentDirectoryForExePathW CreateDirectoryW GetFileAttributesW SetFileInformationByHandle TerminateProcess GetExitCodeProcess ResumeThread CreateProcessW GetProcessId UnregisterWaitEx CreateJobObjectW AssignProcessToJobObject SetInformationJobObject CompareStringOrdinal K32GetModuleBaseNameW InitializeSRWLock RtlUnwind ReleaseSRWLockShared AcquireSRWLockExclusive AcquireSRWLockShared TryAcquireSRWLockExclusive TryAcquireSRWLockShared TryEnterCriticalSection DeleteCriticalSection InitializeConditionVariable WakeConditionVariable WakeAllConditionVariable SleepConditionVariableCS ReleaseSemaphore GetCurrentThread TlsAlloc TlsGetValue TlsSetValue TlsFree GetCurrentProcessorNumber GetNativeSystemInfo SetThreadAffinityMask CreateSemaphoreA FlushFileBuffers ReadFile WriteFile ConnectNamedPipe SetNamedPipeHandleState PeekNamedPipe CreateNamedPipeW WaitNamedPipeW GetOverlappedResult CancelSynchronousIo CreateNamedPipeA GetNamedPipeHandleStateA GetNamedPipeClientProcessId GetNamedPipeServerProcessId GetLongPathNameW GetShortPathNameW ReadDirectoryChangesW GetFileInformationByHandleEx FindClose FindFirstFileW FindNextFileW GetDiskFreeSpaceW GetFileInformationByHandle GetFileSizeEx GetFinalPathNameByHandleW GetFullPathNameW RemoveDirectoryW SetFilePointerEx SetFileTime DeviceIoControl FlushViewOfFile CreateFileMappingA ReOpenFile CopyFileW MoveFileExW CreateHardLinkW CreateSymbolicLinkW DebugBreak FreeLibrary LoadLibraryExW SetErrorMode GetQueuedCompletionStatus GetCurrentThreadId ReadConsoleA VirtualAlloc VirtualProtect VirtualFree VirtualLock GetACP GetModuleHandleW LoadLibraryA LoadLibraryW GetSystemTime SystemTimeToFileTime GetSystemDirectoryA SwitchToFiber DeleteFiber CreateFiberEx ConvertFiberToThread ConvertThreadToFiberEx RtlVirtualUnwind RtlAddFunctionTable RtlDeleteFunctionTable IsDebuggerPresent OutputDebugStringA SuspendThread GetThreadContext GetLocaleInfoEx GetNumberFormatEx GetCurrencyFormatEx ResolveLocaleName SystemTimeToTzSpecificLocalTime GetTimeZoneInformation GetTimeFormatEx GetDateFormatEx CreateThread ExpandEnvironmentStringsA GetQueuedCompletionStatusEx GetThreadTimes GetTickCount CreateFileMappingW GetProcessHeap GetFileSize LockFileEx UnlockFile HeapDestroy HeapCompact HeapAlloc HeapReAlloc DeleteFileW DeleteFileA WaitForSingleObjectEx OutputDebugStringW GetFileAttributesExW GetFileAttributesA GetDiskFreeSpaceA FormatMessageW GetTempPathA HeapSize HeapValidate CreateMutexW UnlockFileEx SetEndOfFile GetFullPathNameA SetFilePointer LockFile HeapFree HeapCreate AreFileApisANSI RaiseException GetDynamicTimeZoneInformation GetGeoInfoW GetUserGeoID LocaleNameToLCID LCIDToLocaleName GetTempFileNameA SetWaitableTimer CreateWaitableTimerExW MapViewOfFileEx QueryThreadCycleTime SleepConditionVariableSRW SetUnhandledExceptionFilter FindFirstFileExW timeGetTime,1
